Reportnumber,CircumstancesCode,DriverID,NonMotoristID,PassengerID,Vehicleid,CrashPoint,Latitude (generated),Longitude (generated)
ADG582002J,*,d7513159-f61a-4681-9ac2-bfef2cd8e068,,,9a131b77-e146-47c5-8fe3-8a397692b4db,Point,39.283866877,-76.598793295
ADG559001M,*,*,,*,*,Point,39.295585241,-76.634162688
ADG559001C,*,*,,da4bbb43-1638-4cc4-817e-2b57d6614bd5,*,Point,39.297011531,-76.686126991
ADG557002G,*,c342bc5d-7ba5-4570-82d9-37e3169e3e4d,,,5f4387e9-b6b9-4062-ab32-a7ec462e2fd4,Point,39.293483930,-76.630378182
ADG557002C,*,*,,*,*,Point,39.287944796,-76.533185584
ADG546005Q,N/A,3c4826de-a666-4cdf-b895-d0dac87bdacb,80e44f8c-b908-4b78-8413-b7b72b0265fb,,3502515a-12d9-495b-a979-fc49dc4dbd32,Point,39.328131004,-76.615963025
ADG546005L,*,*,,a54dfcbc-8594-4597-a4bd-14b861becff1,*,Point,39.346157813,-76.613223080
ADG546005G,*,834f3577-e820-4c30-8a34-2de51d6771f3,,,6cfe9833-ae53-441a-8895-c7a270c1c205,Point,39.330372440,-76.641544096
ADG546005F,*,*,,*,*,Point,39.328500910,-76.608420527
ADG546005D,N/A,ec371c74-2898-40a5-9c8d-5de20e433ee4,,,*,Point,39.359052511,-76.643654550
ADG546005C,N/A,*,,3554e08e-c23e-4cb0-91e1-62964cf2d7d6,*,Point,39.351081961,-76.646500609
ADG540001Z,N/A,*,,c5c3f47e-c89a-4b12-829f-9ad5b0ddbe1d,*,Point,39.291869974,-76.560739971
ADG540001V,N/A,44dee626-bde8-4d7d-bcd5-dc2494063061,f8b075a2-02a4-4a4a-a942-872f63b9e672,,5851796e-2e4a-4b6d-b4f9-90ce7ec57f2d,Point,39.287397100,-76.544240386
ADG540001S,N/A,c90a5a81-3814-442c-bb0c-1a9c3b154d6c,28358960-f034-4046-8467-7e7ef8f76710,,cb4938a8-928d-427f-a25e-27a4f76aab5e,Point,39.283772344,-76.586184940
ADG540001L,*,*,,*,*,Point,39.284305900,-76.599108163
ADG540001K,N/A,*,,23e3d958-db4c-49b4-a2cf-83a84ed44e49,*,Point,39.288057249,-76.552892357
ADG540001F,N/A,*,,,*,Point,39.288576421,-76.569101332
ADG540000Z,N/A,1cfb3461-6f56-4787-b9a7-7af482dda5ef,0a9c5507-f359-44d3-96d3-ca6dec53fb74,,a0cf5276-fcb2-49f6-a696-0b30f18d84c8,Point,39.283681223,-76.589978832
ADG540000K,N/A,*,,*,*,Point,39.290534926,-76.584604385
ADG527000Q,*,*,,,*,Point,39.289997835,-76.630984817
ADG527000K,*,*,,*,*,Point,39.289663646,-76.641028032
ADG525002C,N/A,*,,,*,Point,39.266329862,-76.621320163
ADG525001Z,N/A,*,,724391c8-963a-485d-a6be-83049fbab8ef,*,Point,39.273441871,-76.628721684
ADG525001W,*,*,,*,*,Point,39.273258656,-76.628478189
ADG525001P,N/A,*,,,*,Point,39.260706496,-76.635703077
ADG525001M,N/A,*,,*,*,Point,39.282079763,-76.644807601
ADG525001L,N/A,*,,0ce43a1b-fda1-4447-8b0c-b916aa4b9e77,*,Point,39.273872239,-76.628082562
ADG525001F,N/A,b456e47c-6147-4389-b249-ef8138bb9f7e,708c3f03-05c8-4f19-9d81-52ea83390c7f,,e1ca3c0b-d627-4172-8a30-0892a556f084,Point,39.275330894,-76.624532653
ADG525001D,N/A,*,,,*,Point,39.273310585,-76.628509029
ADG525001B,N/A,6206fb92-9768-411c-9b95-752dfa1ba83e,54238a3c-c1ae-4313-befe-3a1ac5c7b906,,a55cbf71-af1d-486c-bdb7-96394399f034,Point,39.273694692,-76.626233157
ADG525000Z,N/A,*,,b01f0f17-057c-4420-ba01-554a5409aabb,*,Point,39.271866132,-76.630907350
ADG525000Y,*,*,,12635f5f-4669-4f92-9124-5f5c02d0613c,*,Point,39.272945860,-76.629241709
